"""A""","""Agilent Technolog""",41.50,"""11/12/2014""","""3:53pm""","""-0.16 - -0.38%""","2126018
"
"""AA""","""Alcoa Inc. Common""",16.875,"""11/12/2014""","""3:53pm""","""+0.425 - +2.58%""","14119723
"
"""AAPL""","""Apple Inc.""",111.24,"""11/12/2014""","""3:53pm""","""+1.54 - +1.40%""","40196172
"
"""ABBV""","""AbbVie Inc. Commo""",63.715,"""11/12/2014""","""3:53pm""","""-0.135 - -0.21%""","4101133
"
"""ABC""","""AmerisourceBergen""",88.57,"""11/12/2014""","""3:53pm""","""+0.64 - +0.73%""","941658
"
"""ABT""","""Abbott Laboratori""",44.2035,"""11/12/2014""","""3:53pm""","""-0.0465 - -0.11%""","2736006
"
"""ACE""","""Ace Limited Commo""",110.75,"""11/12/2014""","""3:53pm""","""-0.27 - -0.24%""","776555
"
"""ACN""","""Accenture plc. Cl""",84.17,"""11/12/2014""","""3:53pm""","""+0.23 - +0.27%""","1510226
"
"""ACT""","""Actavis plc Ordin""",241.24,"""11/12/2014""","""3:53pm""","""-2.39 - -0.98%""","2758028
"
"""ADBE""","""Adobe Systems Inc""",71.45,"""11/12/2014""","""3:53pm""","""-0.25 - -0.35%""","1389819
"
"""ADI""","""Analog Devices"," I""",50.27,"""11/12/2014""","""3:53pm""","""+0.13 - +0.26%""","985840
"
"""ADM""","""Archer-Daniels-Mi""",50.725,"""11/12/2014""","""3:53pm""","""-0.395 - -0.77%""","1863263
"
"""ADP""","""Automatic Data Pr""",85.22,"""11/12/2014""","""3:53pm""","""+0.27 - +0.32%""","1280572
"
"""ADS""","""Alliance Data Sys""",283.41,"""11/12/2014""","""3:53pm""","""-0.87 - -0.31%""","286530
"
"""ADSK""","""Autodesk"," Inc.""",59.00,"""11/12/2014""","""3:53pm""","""+0.01 - +0.02%""","1478709
"
"""ADT""","""ADT Corporation C""",36.82,"""11/12/2014""","""3:54pm""","""+1.17 - +3.28%""","4366455
"
"""AEE""","""Ameren Corporatio""",42.625,"""11/12/2014""","""3:54pm""","""-0.685 - -1.58%""","1566099
"
"""AEP""","""American Electric""",56.88,"""11/12/2014""","""3:54pm""","""-1.06 - -1.83%""","2765583
"
"""AES""","""The AES Corporati""",13.425,"""11/12/2014""","""3:54pm""","""-0.065 - -0.48%""","11051722
"
"""AET""","""Aetna Inc. Common""",84.52,"""11/12/2014""","""3:54pm""","""+0.02 - +0.02%""","1498256
"
"""AFL""","""AFLAC Incorporate""",59.19,"""11/12/2014""","""3:54pm""","""+0.15 - +0.25%""","1420445
"
"""AGN""","""Allergan"," Inc. Co""",195.90,"""11/12/2014""","""3:54pm""","""+0.56 - +0.29%""","3561602
"
"""AIG""","""American Internat""",54.34,"""11/12/2014""","""3:54pm""","""-0.02 - -0.04%""","4610837
"
"""AIV""","""Apartment Investm""",36.09,"""11/12/2014""","""3:54pm""","""-0.17 - -0.47%""","830112
"
"""AIZ""","""Assurant"," Inc. Co""",68.19,"""11/12/2014""","""3:54pm""","""+0.38 - +0.56%""","480996
"
"""AKAM""","""Akamai Technologi""",60.76,"""11/12/2014""","""3:54pm""","""-0.29 - -0.48%""","637676
"
"""ALL""","""Allstate Corporat""",67.17,"""11/12/2014""","""3:54pm""","""+0.54 - +0.81%""","1613968
"
"""ALLE""","""Allegion plc Ordi""",52.50,"""11/12/2014""","""3:54pm""","""-0.02 - -0.04%""","493486
"
"""ALTR""","""Altera Corporatio""",34.94,"""11/12/2014""","""3:54pm""","""-0.08 - -0.23%""","1179235
"
"""ALXN""","""Alexion Pharmaceu""",193.90,"""11/12/2014""","""3:54pm""","""-1.02 - -0.52%""","470060
"
"""AMAT""","""Applied Materials""",22.49,"""11/12/2014""","""3:54pm""","""-0.05 - -0.22%""","8331702
"
"""AME""","""AMETEK"," Inc.""",52.20,"""11/12/2014""","""3:54pm""","""-0.11 - -0.21%""","1693438
"
"""AMG""","""Affiliated Manage""",200.15,"""11/12/2014""","""3:54pm""","""+1.08 - +0.54%""","343467
"
"""AMGN""","""Amgen Inc.""",161.97,"""11/12/2014""","""3:54pm""","""-0.45 - -0.28%""","1985393
"
"""AMP""","""Ameriprise Financ""",130.25,"""11/12/2014""","""3:54pm""","""-0.11 - -0.08%""","533895
"
"""AMT""","""American Tower Co""",99.71,"""11/12/2014""","""3:54pm""","""+0.21 - +0.21%""","1496458
"
"""AMZN""","""Amazon.com"," Inc.""",311.61,"""11/12/2014""","""3:54pm""","""-0.40 - -0.13%""","1893754
"
"""AN""","""AutoNation"," Inc. """,57.89,"""11/12/2014""","""3:54pm""","""+0.02 - +0.03%""","493570
"
"""AON""","""Aon plc Class A O""",90.38,"""11/12/2014""","""3:54pm""","""+0.20 - +0.22%""","721166
"
"""APA""","""Apache Corporatio""",73.67,"""11/12/2014""","""3:54pm""","""-1.74 - -2.31%""","2355733
"
"""APC""","""Anadarko Petroleu""",91.29,"""11/12/2014""","""3:54pm""","""-1.72 - -1.85%""","4317872
"
"""APD""","""Air Products and """,134.74,"""11/12/2014""","""3:54pm""","""-0.18 - -0.13%""","734282
"
"""APH""","""Amphenol Corporat""",51.235,"""11/12/2014""","""3:54pm""","""+0.425 - +0.84%""","583674
"
"""ARG""","""Airgas"," Inc. Comm""",114.35,"""11/12/2014""","""3:54pm""","""+0.04 - +0.03%""","138223
"
"""ATI""","""Allegheny Technol""",32.355,"""11/12/2014""","""3:54pm""","""+0.265 - +0.83%""","672912
"
"""AVB""","""AvalonBay Communi""",156.75,"""11/12/2014""","""3:54pm""","""-1.47 - -0.93%""","493394
"
"""AVGO""","""Avago Technologie""",87.11,"""11/12/2014""","""3:54pm""","""+0.95 - +1.10%""","863244
"
"""AVP""","""Avon Products"," In""",10.57,"""11/12/2014""","""3:54pm""","""+0.11 - +1.05%""","5549823
"
"""AVY""","""Avery Dennison Co""",48.11,"""11/12/2014""","""3:54pm""","""+0.15 - +0.31%""","287850
"
"""AXP""","""American Express """,91.54,"""11/12/2014""","""3:54pm""","""-0.20 - -0.22%""","3420273
"
"""AZO""","""AutoZone"," Inc. Co""",569.25,"""11/12/2014""","""3:54pm""","""-1.62 - -0.28%""","144434
"
"""BA""","""Boeing Company (T""",125.92,"""11/12/2014""","""3:54pm""","""+0.56 - +0.45%""","2794430
"
"""BAC""","""Bank of America C""",17.27,"""11/12/2014""","""3:54pm""","""-0.05 - -0.29%""","43187840
"
"""BAX""","""Baxter Internatio""",71.32,"""11/12/2014""","""3:54pm""","""+0.56 - +0.79%""","1868676
"
"""BBBY""","""Bed Bath & Beyond""",71.26,"""11/12/2014""","""3:54pm""","""+1.28 - +1.83%""","1510188
"
"""BBT""","""BB&T Corporation """,37.69,"""11/12/2014""","""3:54pm""","""-0.64 - -1.67%""","6369537
"
"""BBY""","""Best Buy Co."," Inc""",35.20,"""11/12/2014""","""3:54pm""","""+0.37 - +1.06%""","3067684
"
"""BCR""","""C.R. Bard"," Inc. C""",165.15,"""11/12/2014""","""3:55pm""","""+0.88 - +0.54%""","209890
"
"""BDX""","""Becton"," Dickinson""",129.32,"""11/12/2014""","""3:55pm""","""+0.56 - +0.43%""","849994
"
"""BEN""","""Franklin Resource""",56.97,"""11/12/2014""","""3:55pm""","""-0.02 - -0.04%""","660565
"
"""BF.B""","""BF.B""",0.00,"""N/A""","""N/A""","""N/A - N/A""","N/A
"
"""BHI""","""Baker Hughes Inco""",50.995,"""11/12/2014""","""3:55pm""","""-0.485 - -0.94%""","3768411
"
"""BIIB""","""Biogen Idec Inc.""",321.22,"""11/12/2014""","""3:55pm""","""-3.37 - -1.04%""","592003
"
"""BK""","""Bank of New York """,39.76,"""11/12/2014""","""3:55pm""","""+0.31 - +0.79%""","3119479
"
"""BLK""","""BlackRock"," Inc. C""",349.96,"""11/12/2014""","""3:55pm""","""-1.23 - -0.35%""","298882
"
"""BLL""","""Ball Corporation """,65.53,"""11/12/2014""","""3:55pm""","""-0.36 - -0.55%""","619408
"
"""BMS""","""Bemis Company"," In""",39.06,"""11/12/2014""","""3:55pm""","""-0.04 - -0.10%""","475832
"
"""BMY""","""Bristol-Myers Squ""",58.62,"""11/12/2014""","""3:55pm""","""-0.10 - -0.17%""","2814148
"
"""BRCM""","""Broadcom Corporat""",41.155,"""11/12/2014""","""3:55pm""","""-0.055 - -0.13%""","2765647
"
"""BRK.B""","""BRK.B""",0.00,"""N/A""","""N/A""","""N/A - N/A""","N/A
"
"""BSX""","""Boston Scientific""",13.41,"""11/12/2014""","""3:55pm""","""0.00 - 0.00%""","14421695
"
"""BWA""","""BorgWarner Inc. C""",55.25,"""11/12/2014""","""3:55pm""","""-0.25 - -0.45%""","3356417
"
"""BXP""","""Boston Properties""",126.785,"""11/12/2014""","""3:55pm""","""-0.855 - -0.67%""","633979
"
"""C""","""Citigroup"," Inc. C""",53.46,"""11/12/2014""","""3:55pm""","""-0.35 - -0.65%""","8984517
"
"""CA""","""CA Inc.""",29.62,"""11/12/2014""","""3:55pm""","""+0.04 - +0.14%""","1309075
"
"""CAG""","""ConAgra Foods"," In""",34.6499,"""11/12/2014""","""3:55pm""","""+0.4499 - +1.32%""","2427659
"
"""CAH""","""Cardinal Health"," """,80.279,"""11/12/2014""","""3:55pm""","""+0.679 - +0.85%""","2387969
"
"""CAM""","""Cameron Internati""",58.67,"""11/12/2014""","""3:55pm""","""-0.30 - -0.51%""","1403160
"
"""CAT""","""Caterpillar"," Inc.""",103.02,"""11/12/2014""","""3:55pm""","""+0.49 - +0.48%""","2510894
"
"""CB""","""Chubb Corporation""",101.51,"""11/12/2014""","""3:55pm""","""+0.02 - +0.02%""","493749
"
"""CBG""","""CBRE Group Inc Co""",32.72,"""11/12/2014""","""3:55pm""","""+0.08 - +0.25%""","1368919
"
"""CBS""","""CBS Corporation C""",51.61,"""11/12/2014""","""3:55pm""","""-0.23 - -0.44%""","5940981
"
"""CCE""","""Coca-Cola Enterpr""",42.86,"""11/12/2014""","""3:55pm""","""+0.31 - +0.73%""","1187910
"
"""CCI""","""Crown Castle Inte""",80.51,"""11/12/2014""","""3:55pm""","""+0.90 - +1.13%""","4459270
"
"""CCL""","""Carnival Corporat""",40.43,"""11/12/2014""","""3:55pm""","""-0.20 - -0.49%""","2580535
"
"""CELG""","""Celgene Corporati""",108.19,"""11/12/2014""","""3:55pm""","""+0.34 - +0.32%""","2859478
"
"""CERN""","""Cerner Corporatio""",63.825,"""11/12/2014""","""3:55pm""","""+0.765 - +1.21%""","898359
"
"""CF""","""CF Industries Hol""",266.49,"""11/12/2014""","""3:55pm""","""+1.18 - +0.44%""","618735
"
"""CFN""","""CareFusion Corpor""",57.56,"""11/12/2014""","""3:55pm""","""+0.08 - +0.14%""","871191
"
"""CHK""","""Chesapeake Energy""",23.41,"""11/12/2014""","""3:55pm""","""-0.02 - -0.09%""","10173426
"
"""CHRW""","""C.H. Robinson Wor""",72.8599,"""11/12/2014""","""3:55pm""","""+1.1099 - +1.55%""","1284611
"
"""CI""","""Cigna Corporation""",102.13,"""11/12/2014""","""3:55pm""","""0.00 - 0.00%""","1328004
"
"""CINF""","""Cincinnati Financ""",51.295,"""11/12/2014""","""3:55pm""","""+0.115 - +0.22%""","272662
"
"""CL""","""Colgate-Palmolive""",68.745,"""11/12/2014""","""3:56pm""","""+0.275 - +0.40%""","1783631
"
"""CLX""","""Clorox Company (T""",101.55,"""11/12/2014""","""3:56pm""","""+0.20 - +0.20%""","707403
"
"""CMA""","""Comerica Incorpor""",49.07,"""11/12/2014""","""3:55pm""","""+0.55 - +1.13%""","1037313
"
"""CMCSA""","""Comcast Corporati""",53.54,"""11/12/2014""","""3:56pm""","""+0.58 - +1.10%""","26915868
"
"""CME""","""CME Group Inc.""",85.63,"""11/12/2014""","""3:56pm""","""-0.66 - -0.76%""","817995
"
"""CMG""","""Chipotle Mexican """,664.81,"""11/12/2014""","""3:55pm""","""+8.16 - +1.24%""","392267
"
"""CMI""","""Cummins Inc. Comm""",146.3403,"""11/12/2014""","""3:56pm""","""-0.2597 - -0.18%""","810061
"
"""CMS""","""CMS Energy Corpor""",32.49,"""11/12/2014""","""3:56pm""","""-0.77 - -2.32%""","2706277
"
"""CNP""","""CenterPoint Energ""",24.575,"""11/12/2014""","""3:56pm""","""-0.4875 - -1.95%""","4210165
"
"""CNX""","""CONSOL Energy Inc""",39.455,"""11/12/2014""","""3:56pm""","""+0.475 - +1.22%""","3389845
"
"""COF""","""Capital One Finan""",81.58,"""11/12/2014""","""3:56pm""","""-0.60 - -0.73%""","2060587
"
"""COG""","""Cabot Oil & Gas C""",33.48,"""11/12/2014""","""3:56pm""","""-0.11 - -0.33%""","3709123
"
"""COH""","""Coach"," Inc. Commo""",35.16,"""11/12/2014""","""3:56pm""","""+0.87 - +2.54%""","3168845
"
"""COL""","""Rockwell Collins","""",85.24,"""11/12/2014""","""3:56pm""","""+0.08 - +0.09%""","329019
"
"""COP""","""ConocoPhillips Co""",71.24,"""11/12/2014""","""3:56pm""","""-0.51 - -0.71%""","5134743
"
"""COST""","""Costco Wholesale """,137.04,"""11/12/2014""","""3:56pm""","""-0.01 - -0.01%""","1524813
"
"""COV""","""Covidien plc. Ord""",92.86,"""11/12/2014""","""3:56pm""","""-0.85 - -0.91%""","1857515
"
"""CPB""","""Campbell Soup Com""",43.875,"""11/12/2014""","""3:56pm""","""-0.515 - -1.16%""","1763875
"
"""CRM""","""Salesforce.com In""",63.77,"""11/12/2014""","""3:56pm""","""-0.29 - -0.45%""","2064179
"
"""CSC""","""Computer Sciences""",61.315,"""11/12/2014""","""3:56pm""","""+1.115 - +1.85%""","1388125
"
"""CSCO""","""Cisco Systems"," In""",25.09,"""11/12/2014""","""3:56pm""","""-0.06 - -0.24%""","34274932
"
"""CSX""","""CSX Corporation C""",36.775,"""11/12/2014""","""3:56pm""","""+0.065 - +0.18%""","6626723
"
"""CTAS""","""Cintas Corporatio""",71.35,"""11/12/2014""","""3:56pm""","""+0.25 - +0.35%""","371828
"
"""CTL""","""CenturyLink"," Inc.""",40.50,"""11/12/2014""","""3:56pm""","""+0.53 - +1.33%""","2592961
"
"""CTSH""","""Cognizant Technol""",53.23,"""11/12/2014""","""3:56pm""","""+0.08 - +0.15%""","2967217
"
"""CTXS""","""Citrix Systems"," I""",66.30,"""11/12/2014""","""3:56pm""","""-0.37 - -0.55%""","890205
"
"""CVC""","""Cablevision Syste""",18.145,"""11/12/2014""","""3:56pm""","""+0.055 - +0.30%""","2958268
"
"""CVS""","""CVS Health Corpor""",89.32,"""11/12/2014""","""3:56pm""","""-0.44 - -0.49%""","2535655
"
"""CVX""","""Chevron Corporati""",117.72,"""11/12/2014""","""3:56pm""","""-0.72 - -0.61%""","4171846
"
"""D""","""Dominion Resource""",72.73,"""11/12/2014""","""3:56pm""","""-1.18 - -1.60%""","2462900
"
"""DAL""","""Delta Air Lines"," """,43.43,"""11/12/2014""","""3:56pm""","""-0.41 - -0.94%""","8496394
"
"""DD""","""E.I. du Pont de N""",70.51,"""11/12/2014""","""3:56pm""","""+0.17 - +0.24%""","2011983
"
"""DE""","""Deere & Company C""",88.2801,"""11/12/2014""","""3:56pm""","""-0.1699 - -0.19%""","2392715
"
"""DFS""","""Discover Financia""",66.095,"""11/12/2014""","""3:56pm""","""-0.285 - -0.43%""","1224899
"
"""DG""","""Dollar General Co""",64.92,"""11/12/2014""","""3:56pm""","""-0.62 - -0.95%""","2924570
"
"""DGX""","""Quest Diagnostics""",62.925,"""11/12/2014""","""3:56pm""","""-0.075 - -0.12%""","811163
"
"""DHI""","""D.R. Horton"," Inc.""",24.04,"""11/12/2014""","""3:56pm""","""+0.09 - +0.38%""","7174458
"
"""DHR""","""Danaher Corporati""",82.34,"""11/12/2014""","""3:56pm""","""+0.93 - +1.14%""","4324060
"
"""DIS""","""Walt Disney Compa""",89.89,"""11/12/2014""","""3:56pm""","""-0.09 - -0.10%""","4369951
"
"""DISCA""","""Discovery Communi""",31.86,"""11/12/2014""","""3:56pm""","""-0.13 - -0.41%""","4301367
"
"""DISCK""","""Discovery Communi""",31.40,"""11/12/2014""","""3:56pm""","""-0.14 - -0.44%""","2292342
"
"""DLPH""","""Delphi Automotive""",70.39,"""11/12/2014""","""3:57pm""","""+0.15 - +0.21%""","1324951
"
"""DLTR""","""Dollar Tree"," Inc.""",61.81,"""11/12/2014""","""3:57pm""","""+0.30 - +0.49%""","1679194
"
"""DNB""","""Dun & Bradstreet """,124.95,"""11/12/2014""","""3:56pm""","""+1.38 - +1.12%""","78990
"
"""DNR""","""Denbury Resources""",11.67,"""11/12/2014""","""3:57pm""","""-0.12 - -1.02%""","5705033
"
"""DO""","""Diamond Offshore """,35.81,"""11/12/2014""","""3:57pm""","""-0.83 - -2.27%""","1021479
"
"""DOV""","""Dover Corporation""",81.12,"""11/12/2014""","""3:57pm""","""+0.37 - +0.46%""","969092
"
"""DOW""","""Dow Chemical Comp""",49.89,"""11/12/2014""","""3:57pm""","""+0.37 - +0.75%""","11354874
"
"""DPS""","""Dr Pepper Snapple""",70.715,"""11/12/2014""","""3:57pm""","""+0.975 - +1.40%""","1319469
"
"""DRI""","""Darden Restaurant""",56.395,"""11/12/2014""","""3:57pm""","""+0.675 - +1.21%""","2136787
"
"""DTE""","""DTE Energy Compan""",80.94,"""11/12/2014""","""3:57pm""","""-1.85 - -2.23%""","1423467
"
"""DTV""","""DIRECTV""",87.36,"""11/12/2014""","""3:57pm""","""+0.43 - +0.49%""","1207313
"
"""DUK""","""Duke Energy Corpo""",79.90,"""11/12/2014""","""3:57pm""","""-1.965 - -2.40%""","5148909
"
"""DVA""","""DaVita HealthCare""",76.74,"""11/12/2014""","""3:57pm""","""+0.61 - +0.80%""","2823195
"
"""DVN""","""Devon Energy Corp""",64.08,"""11/12/2014""","""3:57pm""","""-0.48 - -0.74%""","3257659
"
"""EA""","""Electronic Arts I""",41.225,"""11/12/2014""","""3:57pm""","""+0.085 - +0.21%""","2506119
"
"""EBAY""","""eBay Inc.""",54.04,"""11/12/2014""","""3:57pm""","""-0.15 - -0.28%""","5389884
"
"""ECL""","""Ecolab Inc. Commo""",112.94,"""11/12/2014""","""3:57pm""","""+0.15 - +0.13%""","547606
"
"""ED""","""Consolidated Edis""",62.275,"""11/12/2014""","""3:57pm""","""-1.185 - -1.87%""","2788082
"
"""EFX""","""Equifax"," Inc. Com""",78.71,"""11/12/2014""","""3:57pm""","""+0.48 - +0.61%""","304598
"
"""EIX""","""Edison Internatio""",62.40,"""11/12/2014""","""3:57pm""","""-0.81 - -1.28%""","2946583
"
"""EL""","""Estee Lauder Comp""",72.61,"""11/12/2014""","""3:57pm""","""-0.09 - -0.12%""","1201883
"
"""EMC""","""EMC Corporation C""",29.415,"""11/12/2014""","""3:57pm""","""+0.395 - +1.36%""","8500436
"
"""EMN""","""Eastman Chemical """,84.08,"""11/12/2014""","""3:57pm""","""-0.25 - -0.30%""","1186883
"
"""EMR""","""Emerson Electric """,64.02,"""11/12/2014""","""3:57pm""","""-0.07 - -0.11%""","2326152
"
"""EOG""","""EOG Resources"," In""",97.56,"""11/12/2014""","""3:57pm""","""-1.19 - -1.21%""","3053120
"
"""EQR""","""Equity Residentia""",69.31,"""11/12/2014""","""3:57pm""","""-0.65 - -0.93%""","1542897
"
"""EQT""","""EQT Corporation C""",94.19,"""11/12/2014""","""3:57pm""","""-2.07 - -2.15%""","1016824
"
"""ESRX""","""Express Scripts H""",77.855,"""11/12/2014""","""3:57pm""","""+0.115 - +0.15%""","2765828
"
"""ESS""","""Essex Property Tr""",200.5099,"""11/12/2014""","""3:57pm""","""-1.8201 - -0.90%""","207065
"
"""ESV""","""Ensco plc Class A""",39.24,"""11/12/2014""","""3:57pm""","""-0.19 - -0.48%""","4444945
"
"""ETFC""","""E*TRADE Financial""",22.83,"""11/12/2014""","""3:57pm""","""-0.28 - -1.21%""","3368870
"
"""ETN""","""Eaton Corporation""",67.651,"""11/12/2014""","""3:57pm""","""-0.299 - -0.44%""","2810489
"
"""ETR""","""Entergy Corporati""",81.64,"""11/12/2014""","""3:57pm""","""-1.32 - -1.59%""","2260439
"
"""EW""","""Edwards Lifescien""",122.995,"""11/12/2014""","""3:57pm""","""-1.795 - -1.44%""","882305
"
"""EXC""","""Exelon Corporatio""",35.955,"""11/12/2014""","""3:57pm""","""-1.285 - -3.45%""","8311017
"
"""EXPD""","""Expeditors Intern""",43.915,"""11/12/2014""","""3:57pm""","""-0.345 - -0.78%""","765557
"
"""EXPE""","""Expedia"," Inc.""",87.16,"""11/12/2014""","""3:57pm""","""+0.70 - +0.81%""","1611194
"
"""F""","""Ford Motor Compan""",14.58,"""11/12/2014""","""3:57pm""","""+0.21 - +1.46%""","33555252
"
"""FAST""","""Fastenal Company""",44.65,"""11/12/2014""","""3:57pm""","""+0.22 - +0.50%""","1480241
"
"""FB""","""Facebook"," Inc.""",74.70,"""11/12/2014""","""3:58pm""","""+0.09 - +0.12%""","25180612
"
"""FCX""","""Freeport-McMoRan","""",28.57,"""11/12/2014""","""3:58pm""","""+0.14 - +0.49%""","10891644
"
"""FDO""","""Family Dollar Sto""",78.49,"""11/12/2014""","""3:57pm""","""-0.06 - -0.08%""","186586
"
"""FDX""","""FedEx Corporation""",171.89,"""11/12/2014""","""3:58pm""","""-0.45 - -0.26%""","765788
"
"""FE""","""FirstEnergy Corpo""",36.42,"""11/12/2014""","""3:58pm""","""-0.87 - -2.33%""","3288771
"
"""FFIV""","""F5 Networks"," Inc.""",125.7116,"""11/12/2014""","""3:58pm""","""-0.8584 - -0.68%""","658425
"
"""FIS""","""Fidelity National""",58.90,"""11/12/2014""","""3:58pm""","""+0.41 - +0.70%""","1052284
"
"""FISV""","""Fiserv"," Inc.""",69.865,"""11/12/2014""","""3:58pm""","""+0.025 - +0.04%""","790702
"
"""FITB""","""Fifth Third Banco""",20.37,"""11/12/2014""","""3:58pm""","""+0.13 - +0.64%""","4543271
"
"""FLIR""","""FLIR Systems"," Inc""",32.98,"""11/12/2014""","""3:58pm""","""-0.01 - -0.03%""","665976
"
"""FLR""","""Fluor Corporation""",65.94,"""11/12/2014""","""3:58pm""","""+0.04 - +0.06%""","1067752
"
"""FLS""","""Flowserve Corpora""",67.235,"""11/12/2014""","""3:58pm""","""+0.395 - +0.59%""","808229
"
"""FMC""","""FMC Corporation C""",56.78,"""11/12/2014""","""3:58pm""","""-0.04 - -0.07%""","575144
"
"""FOSL""","""Fossil Group"," Inc""",112.48,"""11/12/2014""","""3:58pm""","""+8.73 - +8.41%""","4768868
"
"""FOXA""","""Twenty-First Cent""",34.64,"""11/12/2014""","""3:58pm""","""-0.29 - -0.83%""","7029396
"
"""FSLR""","""First Solar"," Inc.""",49.58,"""11/12/2014""","""3:58pm""","""-1.41 - -2.77%""","3693334
"
"""FTI""","""FMC Technologies","""",55.765,"""11/12/2014""","""3:58pm""","""-0.215 - -0.38%""","1642143
"
"""FTR""","""Frontier Communic""",6.775,"""11/12/2014""","""3:58pm""","""+0.275 - +4.23%""","8980006
"
"""GAS""","""AGL Resources"," In""",52.135,"""11/12/2014""","""3:58pm""","""-0.645 - -1.22%""","1251601
"
"""GCI""","""Gannett Co."," Inc.""",30.87,"""11/12/2014""","""3:58pm""","""+0.04 - +0.13%""","868990
"
"""GD""","""General Dynamics """,141.31,"""11/12/2014""","""3:58pm""","""+0.01 - +0.01%""","1129580
"
"""GE""","""General Electric """,26.51,"""11/12/2014""","""3:58pm""","""+0.13 - +0.49%""","23243276
"
"""GGP""","""General Growth Pr""",25.41,"""11/12/2014""","""3:58pm""","""-0.23 - -0.90%""","2107579
"
"""GILD""","""Gilead Sciences"," """,106.94,"""11/12/2014""","""3:58pm""","""-1.07 - -0.99%""","11366145
"
"""GIS""","""General Mills"," In""",50.96,"""11/12/2014""","""3:58pm""","""-0.01 - -0.02%""","2284942
"
"""GLW""","""Corning Incorpora""",20.715,"""11/12/2014""","""3:58pm""","""+0.005 - +0.02%""","3711168
"
"""GM""","""General Motors Co""",31.43,"""11/12/2014""","""3:58pm""","""+0.08 - +0.26%""","6809996
"
"""GMCR""","""Keurig Green Moun""",152.72,"""11/12/2014""","""3:58pm""","""-1.97 - -1.27%""","1224822
"
